asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_prime,climate_pledge_friendly
B0B1QZ58H9,"Samsung Galaxy S21 FE 5G Cell Phone, Factory Unlocked Android Smartphone, 128GB, 120Hz Display, Pro Grade Camera, All Day Intelligent Battery, (Olive Green) (Renewed)",$299.99,$589.97,USD,4.4,60,https://www.amazon.com/dp/B0B1QZ58H9,https://m.media-amazon.com/images/I/613E1mUGLEL._AC_SX444_SY639_QL65_.jpg,,$299.99,False,False,True
B0B4FBC3T7,"Samsung Galaxy A13 5G (64GB, 4GB) 6.5&quot; HD+, 50MP Triple Camera, 5000mAh Battery, 5G / 4G Volte (GSM Unlocked for AT&amp;T, T-Mobile, Global) A136U (w/ 64GB SD, Black)",$154.99,,USD,3.7,33,https://www.amazon.com/dp/B0B4FBC3T7,https://m.media-amazon.com/images/I/61xhaqnlKPL._AC_SX444_SY639_QL65_.jpg,,$154.99,False,False,False
B08P278JG3,Samsung Galaxy A51 5G | A516U | 128GB | Single SIM | GSM Unlocked | Android Smartphone | Black (Renewed),$159.99,,USD,3.9,418,https://www.amazon.com/dp/B08P278JG3,https://m.media-amazon.com/images/I/71hH4loo+hL._AC_SX444_SY639_QL65_.jpg,,$159.99,False,False,True
B0C6FNQWYQ,"SAMSUNG Galaxy A34 5G Dual SIM (256GB, 8GB) 6.6&quot; 120Hz AMOLED, Octa-Core, 48MP Triple Camera, 4G Volte (GSM Unlocked for T-Mobile, Metro, Global) International Model A346M/DSN (w/ 256GB SD, Graphite)",$290.50,,USD,4.1,6,https://www.amazon.com/dp/B0C6FNQWYQ,https://m.media-amazon.com/images/I/51AnFsHzArL._AC_SX444_SY639_QL65_.jpg,,$290.50,False,True,False
B09KX433GB,Samsung Galaxy A12 32GB A125U 6.5&quot; Display Quad Camera Android Smartphone - Black (Renewed) (AT&amp;T Locked),$128.00,,USD,4.5,23,https://www.amazon.com/dp/B09KX433GB,https://m.media-amazon.com/images/I/81t8kQP6OQL._AC_SX444_SY639_QL65_.jpg,,$128.00,False,False,True
B083JN4KJX,Samsung Galaxy A10E SM-A102U 32GB T-Mobile Android Smartphone (Renewed),$78.00,,USD,4,157,https://www.amazon.com/dp/B083JN4KJX,https://m.media-amazon.com/images/I/71ZZtb5maFL._AC_SX444_SY639_QL65_.jpg,,$78.00,False,False,True
B09W382BTT,"SAMSUNG Galaxy A23 (SM-A235M/DS) Dual SIM,64 GB 4GB RAM, Factory Unlocked GSM, International Version - No Warranty - (Blue)",,,,4.2,523,https://www.amazon.com/dp/B09W382BTT,https://m.media-amazon.com/images/I/81kCC0k1-gL._AC_SX444_SY639_QL65_.jpg,,,False,False,False
B0B3T9LFZQ,"SAMSUNG Galaxy Z Flip 4 Cell Phone, Factory Unlocked Android Smartphone, 128GB, Flex Mode, Hands Free Camera, Compact, Foldable Design, Informative Cover Screen, US Version, 2022, Bora Purple",$999.99,,USD,4.1,76,https://www.amazon.com/dp/B0B3T9LFZQ,https://m.media-amazon.com/images/I/517PxzJ-fUL._AC_SX444_SY639_QL65_.jpg,,$999.99,False,True,True
B0BJQQ8FNK,"SAMSUNG Galaxy S21 Ultra 5G (128GB, 12GB) 6.8&#x27;&#x27; AMOLED 2X, 108MP Camera, Volte (Fully Unlocked for AT&amp;T, Verizon, T-Mobile, Global) G998U1 (w/Wireless Charging Pad, Phantom Black) (Renewed)",$419.99,,USD,3.4,19,https://www.amazon.com/dp/B0BJQQ8FNK,https://m.media-amazon.com/images/I/61lUsC53iML._AC_SX444_SY639_QL65_.jpg,,$419.99,False,False,True
B08XLYY4TW,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom White - Unlocked (Renewed)",$228.00,$245.99,USD,4,832,https://www.amazon.com/dp/B08XLYY4TW,https://m.media-amazon.com/images/I/611+x6xsVAL._AC_SX444_SY639_QL65_.jpg,,$228.00,False,False,True
